cluster,iter,seg,frame,PC1,PC2,weight,bound,cluster_pop_pct,cluster_bound_pct,pdb
0,83,2,40,-23.11825180053711,-59.655643463134766,1.5299523991457727e-11,0,10.545000267823845,6.716777538577067e-08,cluster_00.pdb
1,8,47,70,-4.989009857177734,-2.005955696105957,7.812499999999996e-05,0,9.747340242883292,3.9727476336202835e-06,cluster_01.pdb
2,49,5,0,-9.453134536743164,18.191125869750977,2.837623469531535e-12,0,9.286348776307166,0.0,cluster_02.pdb
3,114,30,90,-51.89424133300781,-26.025634765625,0.002778219710704673,0,15.118018272800581,7.428074800927992e-05,cluster_03.pdb
4,26,5,60,-10.978202819824219,36.433807373046875,2.2888183593749989e-07,0,8.393661224614048,0.0005122794300296344,cluster_04.pdb
5,34,1,0,-3.7438411712646484,0.6461620330810547,1.602172851562499e-06,0,9.820503805632002,0.0,cluster_05.pdb
6,6,24,80,15.861349105834961,20.26317596435547,0.00015624999999999992,0,16.058421336940683,8.237452536892597e-06,cluster_06.pdb
7,62,56,90,-55.76557159423828,-8.060417175292969,0.0002092409133911132,0,2.215260315424728,0.0,cluster_07.pdb
8,52,31,50,-19.986677169799805,-17.898454666137695,0.0005059424182400106,0,13.98478758654774,0.0005811999104850369,cluster_08.pdb
9,50,92,0,47.10108947753906,-16.48092269897461,3.031093547178897e-07,1,4.83065817102593,6.118567310516345,cluster_09.pdb
